Title,Year,Movie ID,Director,Stars,Votes
Pariser Platz - Berlin,2011,tt1701219,Ivo Trajkov,"('Blerim Destani', 'Richard Sammel', 'Udo Kier', 'Nicolette Krebitz')",6.3
Eyam,2012,tt2364653,Scout Tafoya,"('Sophie Chernin', 'Stephie Ulm', 'John Farrell', 'Alex Heim')",5
Benny Bliss and the Disciples of Greatness,2009,tt0839741,Martin Guigui,"('Courtney Gains', 'Norman John Cutliff III', 'Corey Britz', 'Michael Hateley')",6.6
Lefty,2009,tt1329387,Todd Looby,"('Dan Antonucci', 'Bill Boehler', 'Lisa Dodson', 'Steven Fleming')",9.2
Pre,2009,tt1298714,Steven Tanenbaum,"('Kristen Abate', 'Kevin Breznahan', 'Chris Cipriano', 'Matt Cooper')",5.8
Burning Mussolini,2009,tt0820846,Conrad Pla,"('Conrad Pla', 'Chelah Horsdal', 'Richard Chevolleau', 'David Zayas')",6.4
Bob the Builder: Big Dino Dig,2011,tt2234534,Davis Doi,"('Will Meugniot', 'Paul Sabella', 'Marc Silk', 'Sophie Aldred', 'Rupert Degas', 'Lorelei King')",6.1
Footprints,2009,tt1087447,Steven Peros,"('Sybil Darrow', 'H.M. Wynant', 'Pippa Scott', 'John Brickner')",5
Chasing Shadows,2010,tt1714007,Jordan F. Ghanma,"('Tony Ghanma', 'Farzan Haghighi', 'Dina Alkhoury', 'Ramez Alkhoury', 'Shibly Alkhoury', 'Berge Bedrossian')",8.2
The Magic of Christmas II,2010,tt1754658,Mamie Jean Calvert,"('Tamara Chandler', 'Jason Scott Feilzer', 'Teri Flores', 'Linda Arslanian')",7.6
Elysium,2010,tt1783264,Brandon Young,"('Justin Beecher', 'Rod Carlson', 'Ben Davis', 'Derrick Dean')",6
Kingdom of Dust: Beheading of Adam Smith,2011,tt1613873,Heath Jones,"('Elyes Gabel', 'Stephen Hogan', 'Alyy Khan', ""Dhafer L'Abidine"")",5
Hair Is Falling: A Serious Comedy Film,2011,tt2033264,Vicky Bhardwaj,"('Rajesh Bhardwaj', 'Sanjana Tiwari', 'Priyanka', 'Mahender Singh Bist')",5.4
Beautysleep Symphony,2010,tt1326193,Carl Darchuk,"('Marlene Ahlquist', 'Adam Arnali', 'Lynn Ayala', 'Nellie Barlow')",7
Reservation,2010,tt1710993,Michael A. McGowan,"('Ian Chidlaw', 'Dylan Diehl', 'Ryan Haake', 'Kenny Dellinger')",5.4
R U There,2010,tt1443518,David Verbeek,"('Stijn Koomen', 'Huan-Ru Ke', 'Tom De Hoog', 'Phi Nguyen')",5.6
Alice in Wonderland,2010,tt2049386,James Fotopoulos,"('Sarah Brooks', 'Lauren Nicole Goode')",7.1
4 Minutes,2009,tt1588349,Dwayne Boyd,"('Bodie Norton', 'Dwayne Boyd', 'Jason Sylvain', 'Gregory Alan Williams', 'Dawn Michele')",7.1
Oliver Sherman,2010,tt1503149,Ryan Redford,"('Garret Dillahunt', 'Molly Parker', 'Donal Logue', 'Duane Murray')",6.4
Underground: The Julian Assange Story,2012,tt2357453,Julian Assange,"('Robert Connolly', 'Rachel Griffiths', 'Anthony LaPaglia', 'Alex Williams', 'Laura Wheelwright')",6.7
Rezeta,2012,tt2884144,Fernando Frias,"('Rezeta Veliu', 'Roger Mendoza', 'Emiliano Becerril', 'Sebastian Cordova')",5.7
Night Before the Wedding,2009,tt1265986,David Branin,"('Rhomeyn Johnson', 'Sarah Shirene', 'Frantz Durand', 'Mopreme Shakur')",8.3
The Outrage,2010,tt1462667,Takeshi Kitano,"('Takeshi Kitano', 'Kippei Shîna', 'Ryo Kase', 'Fumiyo Kohinata')",6.8
Crime,2010,tt1666158,Vincent Ostria,"('Philippe Petit', 'Eva Ionesco', 'Paul Nguyen', 'Cyril Aubin')",5
The Gathering! 2,2011,tt2147199,Nia Di Nata,"('Cut Mini Theo', 'Tora Sudiro', 'Surya Saputra', 'Aida Nurmala')",6.5
She's Dead,2012,tt2371452,Nick Box,"('Sam Wahnon', 'Serena Chloe Gardner', 'Alexander Lewis', 'Julian Seager', 'Jamie Smith')",6.8
Moneyball,2011,tt1210166,Bennett Miller,"('Brad Pitt', 'Robin Wright', 'Jonah Hill', 'Philip Seymour Hoffman')",7.6
Angel Dog,2011,tt1711456,Robin Conly,"('Jon Michael Davis', 'Farah White', 'Maurice Ripke', 'Ashley Hallford')",5.7
Inventory,2011,tt1787729,Justin Fielding,"('Christian Anthony', 'Ken Breese', 'Matt Carbo', 'Shelly Finnegan')",5
Sat2Mon,2012,tt2331310,Dan Worrawech Danuwong,"('Dan Worrawech Danuwong', 'Noot Coates', 'Ungsumalynn Sirapatsakmetha', 'Kwanjit Sriprajan')",5.9
Pickled,2010,tt2162701,Montetré,"('Chris Hart', 'Asher Sandberg-Lewis', 'Montetré', 'Bobby Ryan')",6.5
A Year and a Day,2009,tt1361651,Ben Samuels,"('Madeline Blue', 'Ben Samuels', 'Nick Jandl', 'Neil Samuels')",7.8
Source Code,2011,tt0945513,Duncan Jones,"('Jake Gyllenhaal', 'Michelle Monaghan', 'Vera Farmiga', 'Jeffrey Wright')",7.5
Nine,2009,tt0875034,Rob Marshall,"('Daniel Day-Lewis', 'Marion Cotillard', 'Penélope Cruz', 'Sandro Dori')",5.8
A Jewish Girl in Shanghai,2010,tt1878842,Wang Genfa,(),6.1
Silent House,2011,tt1767382,Chris Kentis,"('Laura Lau', 'Elizabeth Olsen', 'Adam Trese', 'Eric Sheffer Stevens', 'Julia Chan')",5.2
Mouse,2012,tt7702230,Wasantha Moragoda,"('Thisal Moragoda', 'Kaushalaya Fernando', 'Robin Fernando', 'Roshan Ravindra')",6.4
Monolog,2010,tt2076276,Eray Dinç,"('Sertan Arslan', 'Tunca Arslan', 'Enis Aybar', 'Damla Demircioglu')",6.8
Fluidos,2009,tt1517090,Alexandre Carvalho,"('Amanda Banffy', 'Tatiana Eivazian', 'Tania Granussi', 'Laerte Késsimos')",6.2
Herman & Shelly,2011,tt1721680,Bridget Stokes,"('Lance Rubin', 'Nina Kassa', 'Samantha Sherman', 'Danny Musengo')",7.8
Inner Quest,2010,tt1719726,Roshdi Alkadri,"('Elan Beasley', 'Laura Lieben', 'Moe Allahdadi', 'Bradley James')",6.9
Dead Dad,2012,tt1971369,Ken J. Adachi,"('Kyle Arrington', 'Jenni Melear', 'Lucas Kwan Peterson', 'Allyn Rachel')",7.6
Restless,2011,tt1498569,Gus Van Sant,"('Mia Wasikowska', 'Henry Hopper', 'Ryo Kase', 'Schuyler Fisk')",6.7
Zookeeper,2011,tt1222817,Frank Coraci,"('Kevin James', 'Rosario Dawson', 'Leslie Bibb', 'Ken Jeong')",5.2
The Horror Pages,2012,tt1540995,Michael Bilinski,"('Jeff Palmer', 'Jared Skolnick', 'Michael Bilinski', 'Brian Greenzang', 'Jenae Gunderlock', 'Jennifer Renée Price')",7.2
When Hainan Meets Teochew,2010,tt1764254,Yew Kwang Han,"('Alaric', 'Yew Kwang Han', 'Yi Kai Ho', 'Soundrarajan J.')",6.6
Enter the Hamster,2011,tt1885250,Paul Vorrasi,"('Brett Jones', 'Zuzanna Kamusinski', 'Jess Thomas-Hall', 'Sheree Andersen')",6.2
Kerberos,2010,tt1262918,Kely McClung,"('Kely McClung', 'Robert Pralgo', 'Stan Harrington', 'Whitney Sullins')",7.8
Echo at 11 Oak Drive,2012,tt2124167,Crystle Roberson,"('Rico Ball', 'Rockmond Dunbar', 'Adam Fristoe', 'TJ Hassan')",6.8
All About Dad,2009,tt1049946,Mark Tran,"('David Huynh', 'Yen Ly', 'Steve Cloyes', 'Nanrisa Lee')",7.8
Chrissy,2012,tt3442840,Marcia Weekes,"('Peter Boyce', 'Mac Fingall', 'Makalah Harrison', ""Cara O'Donnell"")",7.9
Badmaash Company,2010,tt1602476,Parmeet Sethi,"('Shahid Kapoor', 'Anushka Sharma', 'Meiyang Chang', 'Vir Das')",6.1
We Need to Talk About Kevin,2011,tt1242460,Lynne Ramsay,"('Tilda Swinton', 'John C. Reilly', 'Ezra Miller', 'Jasper Newell')",7.5
Charlotta-TS,2010,tt1629730,Lewis Teague,"('Laura Bayonas', 'Jodie Fisher', 'Tim Lannen', 'Wendy Parks')",6.9
Park Sharks,2009,tt1339146,Dan Lee,"('Pooja Kumar', 'Nicolas Greco', 'Alexis Suarez', 'Donald Rizzo')",6.5
The Last Time I Saw Macao,2012,tt1843840,João Pedro Rodrigues,"('João Rui Guerra da Mata', 'Cindy Scrash', 'João Rui Guerra da Mata', 'João Pedro Rodrigues', 'Maria João Guerra da Mata')",6.2
White Lion,2010,tt1618421,Michael Swan,"('Jamie Bartlett', 'John Kani', 'Thabo Malema', 'A.J. van der Merwe')",6.5
Tony Tag Makes It to Hollywood,2010,tt1784700,Carl Steuer,"('Brian Clark', 'Ryan Sanson', 'Tracy Dali', 'Lanessa Grace')",7.9
Henry O!,2009,tt1312974,Ziad H. Hamzeh,"('Ziad H. Hamzeh', 'Enrique Oliu', 'Debbie Perry')",8.4
The Trouble with Terkel,2010,tt1560987,Thorbjørn Christoffersen,"('Stefan Fjeldmark', 'Randolph Kret', 'Mike Olsen', 'Shark Firestone', 'Richard Janes', 'Chad Ridgely')",7.2
Bed & Breakfast: Love is a Happy Accident,2010,tt1678040,Marcio Garcia,"('Dean Cain', 'Juliana Paes', 'Bill Engvall', 'Julian Stone')",5
American Widow,2009,tt0454777,C.S. Leigh,"('Marina Defavoroy', 'Yekaterina Golubeva', 'Cat Power', 'Anna Thomson')",7.2
Unwanted Guest,2011,tt2077903,Daniel Ademinokan,"('Vivian Achor', 'Daniel Ademinokan', 'Sophy Aiida', 'Adetutu Ajibose')",5.4
29000 Wishes. 1 Regret.,2012,tt2165535,Oliver Robins,"('Justus Zimmerman', 'Casey Ruggieri', 'Nick Caballero', 'Mary Diane')",6.8
